year,make,model,hpv,Efficiency_km/L
2016,Chrysler,Town and Country,0,8.50287414
2016,Dodge,Grand Caravan,0,8.50287414
2016,Buick,Encore,0,11.904023795999999
2016,Chevrolet,Equinox FWD,0,11.053736382
2016,Chevrolet,Equinox FWD,0,11.053736382
2016,Chevrolet,Trax,0,12.329167502999999
2016,Dodge,Journey,0,8.928017847
2016,Dodge,Journey,0,8.077730433
2016,Ford,Escape FWD,0,11.053736382
2016,Ford,Escape FWD,0,10.203448968
2016,Ford,Escape FWD,0,10.628592675
2016,GMC,Terrain FWD,0,11.053736382
2016,GMC,Terrain FWD,0,11.053736382
2016,Jeep,Compass FWD,0,10.628592675
2016,Jeep,Patriot FWD,0,9.778305261
2016,Jeep,Patriot FWD,0,10.628592675
2016,Jeep,Compass FWD,0,9.778305261
2016,Lincoln,MKC FWD,0,9.778305261
2016,Chevrolet,Equinox AWD,0,7.652586726
2016,Dodge,Journey AWD,0,8.077730433
2016,Ford,Escape AWD,0,10.628592675
2016,Ford,Escape AWD,0,9.778305261
2016,GMC,Terrain AWD,0,7.652586726
2016,Land Rover,Discovery Sport,0,9.353161554
2016,Land Rover,Range Rover Evoque,0,10.203448968
2016,Lincoln,MKC AWD,0,9.353161554
2016,Lincoln,MKC AWD,0,8.928017847
2016,Mercedes-Benz,SL400,0,9.778305261
2016,Mercedes-Benz,AMG SL63,0,8.077730433
2016,Mercedes-Benz,AMG SLK55,0,9.353161554
2016,Hyundai,Genesis Coupe,0,8.077730433
2016,Mazda,3 4-Door,0,14.029742331
2016,Mazda,3 4-Door,0,14.029742331
2016,Mazda,3 4-Door,0,12.329167502999999
2016,Mazda,3 4-Door,0,13.179454917
2016,Mazda,3 4-Door,0,13.604598624
2016,Mercedes-Benz,S550 4matic Coupe,0,8.077730433
2016,Mercedes-Benz,CLS550,0,8.50287414
2016,Mercedes-Benz,AMG CLS63 S 4matic,0,7.652586726
2016,Mercedes-Benz,CLS400,0,10.203448968
2016,Mercedes-Benz,CLS400 4matic,0,9.353161554
2016,Dodge,Dart,97,11.478880088999999
2016,Dodge,Dart,97,11.478880088999999
2016,Dodge,Dart GT,97,10.628592675
2016,Dodge,Dart,97,11.478880088999999
2016,Mazda,3 5-Door,96,13.604598624
2016,Mazda,3 5-Door,96,14.029742331
2016,Mazda,3 5-Door,96,12.329167502999999
2016,Mazda,3 5-Door,96,12.75431121
2016,Mazda,3 5-Door,96,13.604598624
2016,Mercedes-Benz,S550,0,8.50287414
2016,Mercedes-Benz,AMG S63 4matic,0,7.652586726
2016,Mercedes-Benz,S550 4matic,0,8.077730433
2016,Ram,1500 2WD,0,6.802299312
2016,Ram,1500 2WD,0,7.227443019
2016,Ram,1500 2WD,0,8.50287414
2016,Ram,1500 HFE 2WD,0,10.203448968
2016,Ram,1500 4WD,0,6.377155605
2016,Ram,1500 4WD,0,9.353161554
2016,Ram,1500 4WD,0,7.227443019
2016,Jeep,Cherokee 4WD Active Drive II,0,9.778305261
2016,Jeep,Cherokee Trailhawk 4WD,0,9.353161554
2016,Mercedes-Benz,GLE350 4matic,0,8.077730433
2016,Mercedes-Benz,GLE350 4matic,0,8.077730433
2016,Kia,Soul Electric,0,44.640089235
2016,Mercedes-Benz,SL550,0,8.077730433
2016,Mercedes-Benz,AMG SL65,0,7.227443019
2016,Mercedes-Benz,SLK300,0,11.478880088999999
2016,Mercedes-Benz,SLK350,0,10.203448968
2016,MINI,Cooper S Hardtop 2 door,80,11.904023795999999
2016,MINI,Cooper S Hardtop 2 door,80,11.478880088999999
2016,MINI,Cooper S Hardtop 4 door,84,11.904023795999999
2016,MINI,Cooper S Hardtop 4 door,84,11.478880088999999
2016,Volkswagen,Eos,0,10.628592675
